Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AIN,Albany International Corporation Common Stock,$83.37,-1.09,-1.291%,2699603970.00,United States,,145372,Basic Industries,Textiles
ALB,Albemarle Corporation Common Stock,$206.01,-5.91,-2.789%,24098291271.00,United States,,1089945,Basic Industries,Industrial Specialties
AMRC,Ameresco Inc. Class A Common Stock,$48.96,-1.56,-3.088%,2524351162.00,United States,2010,384756,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction
APD,Air Products and Chemicals Inc. Common Stock,$279.43,-3.38,-1.195%,61945258479.00,United States,,788060,Basic Industries,Specialty Chemicals
ASH,Ashland Global Holdings Inc. Common Stock,$96.14,-0.47,-0.486%,5471171942.00,United States,,429803,Basic Industries,Specialty Chemicals
ATI,Allegheny Technologies Incorporated Common Stock,$19.22,-0.61,-3.076%,2445713249.00,United States,,5280884,Basic Industries,Steel/Iron Ore
AVNT,Avient Corporation Common Stock,$51.23,-0.64,-1.234%,4687103397.00,United States,,367461,Basic Industries,Major Chemicals
AXTA,Axalta Coating Systems Ltd. Common Shares,$29.44,-0.58,-1.932%,6722652380.00,United States,2014,2757526,Basic Industries,Paints/Coatings
BCPC,Balchem Corporation Common Stock,$147.21,-3.47,-2.303%,4766896955.00,United States,,102553,Basic Industries,Industrial Specialties
BG,Bunge Limited Bunge Limited,$94.69,1.00,1.067%,13305857643.00,United States,2001,1247819,Basic Industries,Industrial Specialties
CBT,Cabot Corporation Common Stock,$55.50,-0.32,-0.573%,3152582262.00,United States,,373935,Basic Industries,Specialty Chemicals
CC,Chemours Company (The) Common Stock,$33.02,0.27,0.824%,5380967135.00,United States,2015,1108956,Basic Industries,Industrial Specialties
CE,Celanese Corporation Celanese Corporation Common Stock,$159.84,-0.96,-0.597%,17401916344.00,United States,2005,627847,Basic Industries,Major Chemicals
CF,CF Industries Holdings Inc. Common Stock,$71.46,3.10,4.535%,15326414942.00,United States,2005,6334085,Basic Industries,Agricultural Chemicals
CMC,Commercial Metals Company Common Stock,$34.12,-1.13,-3.206%,4144939704.00,United States,,1184738,Basic Industries,Steel/Iron Ore
CVCO,Cavco Industries Inc. Common Stock When Issued,$265.00,-3.34,-1.245%,2431988475.00,United States,,79400,Basic Industries,Homebuilding
DY,Dycom Industries Inc. Common Stock,$84.22,-2.48,-2.86%,2541817543.00,United States,,173878,Basic Industries,Water Sewer Pipeline Comm & Power Line Construction
