Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,$134.57,-3.55,-2.57%,40640247252.00,United States,1999,1678540,Capital Goods,Electrical Products
AMAT,Applied Materials Inc. Common Stock,$132.99,-6.30,-4.523%,118163376852.00,United States,1972,11076448,Capital Goods,Industrial Machinery/Components
AOS,A.O. Smith Corporation Common Stock,$75.40,-3.38,-4.29%,12000822491.00,United States,,2207614,Capital Goods,Industrial Machinery/Components
APH,Amphenol Corporation Common Stock,$76.01,-1.34,-1.732%,45456091710.00,United States,,4274262,Capital Goods,Electrical Products
BA,Boeing Company (The) Common Stock,$204.10,-0.10,-0.049%,119949411618.00,United States,,8722943,Capital Goods,Aerospace
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,$574.93,-9.03,-1.546%,17200889699.00,United States,,400180,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BWA,BorgWarner Inc. Common Stock,$44.16,-0.01,-0.023%,10588299504.00,United States,,2119765,Capital Goods,Auto Parts:O.E.M.
CAT,Caterpillar Inc. Common Stock,$214.31,-0.02,-0.009%,115929194296.00,United States,,4107080,Capital Goods,Construction/Ag Equipment/Trucks
CGNX,Cognex Corporation Common Stock,$65.60,-2.11,-3.116%,11598014597.00,United States,1989,791076,Capital Goods,Industrial Machinery/Components
CMI,Cummins Inc. Common Stock,$226.66,2.66,1.188%,32419598668.00,United States,,1336833,Capital Goods,Construction/Ag Equipment/Trucks
CX,Cemex S.A.B. de C.V. Sponsored ADR,$5.96,0.23,4.014%,87784665527.00,Mexico,,17325838,Capital Goods,Building Materials
DE,Deere & Company Common Stock,$368.22,4.19,1.151%,113484148738.00,United States,,2503164,Capital Goods,Industrial Machinery/Components
DOV,Dover Corporation Common Stock,$170.67,-3.02,-1.739%,24573860728.00,United States,,919827,Capital Goods,Industrial Machinery/Components
EMR,Emerson Electric Company Common Stock,$91.21,-1.83,-1.967%,54333743551.00,United States,,3712202,Capital Goods,Industrial Machinery/Components
ENPH,Enphase Energy Inc. Common Stock,$122.65,-5.45,-4.254%,16547011747.00,United States,2012,2768793,Capital Goods,Electrical Products
F,Ford Motor Company Common Stock,$19.98,-0.41,-2.011%,79844905230.00,United States,,115944837,Capital Goods,Auto Manufacturing
