Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEIS,Advanced Energy Industries Inc. Common Stock,$84.19,-3.81,-4.33%,3171406571.00,United States,1995,229698,Consumer Durables,Electrical Products
AME,AMETEK Inc.,$133.89,-2.44,-1.79%,30972126476.00,United States,,1329948,Consumer Durables,Metal Fabrications
AYI,Acuity Brands Inc. ,$195.99,-2.31,-1.165%,6863219566.00,United States,,253657,Consumer Durables,Building Products
BEAM,Beam Therapeutics Inc. Common Stock,$66.61,-1.38,-2.03%,4538525505.00,United States,2020,1247809,Consumer Durables,Specialty Chemicals
BLL,Ball Corporation Common Stock,$86.40,-0.83,-0.952%,27984457325.00,United States,,2165227,Consumer Durables,Containers/Packaging
CCK,Crown Holdings Inc.,$107.27,-0.92,-0.85%,13716382446.00,United States,,939336,Consumer Durables,Containers/Packaging
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,$25.57,-0.59,-2.255%,3764819125.00,United States,2020,418831,Consumer Durables,Specialty Chemicals
CERT,Certara Inc. Common Stock,$25.33,-1.69,-6.255%,4044175084.00,United States,2020,1498053,Consumer Durables,Specialty Chemicals
CLX,Clorox Company (The) Common Stock,$174.53,-2.42,-1.368%,21443238550.00,United States,,1386921,Consumer Durables,Specialty Chemicals
DSEY,Diversey Holdings Ltd. Ordinary Shares,$10.53,-0.17,-1.589%,3342549904.00,United States,2021,1877417,Consumer Durables,Specialty Chemicals
EAF,GrafTech International Ltd. Common Stock,$10.41,-0.30,-2.801%,2740143185.00,United States,2018,3640580,Consumer Durables,Metal Fabrications
FBHS,Fortune Brands Home & Security Inc. Common Stock,$95.19,-2.68,-2.738%,12920552396.00,United States,,494740,Consumer Durables,Building Products
FELE,Franklin Electric Co. Inc. Common Stock,$87.14,-3.01,-3.339%,4045974945.00,United States,,164708,Consumer Durables,Metal Fabrications
GE,General Electric Company Common Stock,$91.11,-5.80,-5.985%,100051273732.00,United States,,20888676,Consumer Durables,Metal Fabrications
GIL,Gildan Activewear Inc. Class A Sub. Vot. Common Stock,$38.67,-0.32,-0.821%,7498914745.00,Canada,1998,665740,Consumer Durables,Building Products
GNRC,Generac Holdlings Inc. Common Stock,$276.32,-9.87,-3.449%,17433021339.00,United States,2010,952974,Consumer Durables,Metal Fabrications
GT,The Goodyear Tire & Rubber Company Common Stock,$21.31,-0.73,-3.312%,5994344262.00,United States,,4067229,Consumer Durables,Automotive Aftermarket
KYMR,Kymera Therapeutics Inc. Common Stock,$39.76,-0.13,-0.326%,2043152527.00,United States,2020,316068,Consumer Durables,Specialty Chemicals
LEG,Leggett & Platt Incorporated Common Stock,$40.20,0.39,0.98%,5361763360.00,United States,,2088854,Consumer Durables,Home Furnishings
MHK,Mohawk Industries Inc. Common Stock,$157.88,-0.95,-0.598%,10693587049.00,United States,,468718,Consumer Durables,Home Furnishings
OI,O-I Glass Inc. Common Stock,$13.01,-0.20,-1.514%,2040322171.00,United States,,916467,Consumer Durables,Containers/Packaging
PLUG,Plug Power Inc. Common Stock,$19.73,-0.97,-4.686%,11371500072.00,United States,1999,26008538,Consumer Durables,Electrical Products
PTVE,Pactiv Evergreen Inc. Common stock,$11.39,0.02,0.176%,2018888594.00,United States,2020,108192,Consumer Durables,Containers/Packaging
RRX,Regal Rexnord Corporation Common Stock,$158.23,-6.75,-4.091%,10721559419.00,United States,,580524,Consumer Durables,Metal Fabrications
SLGN,Silgan Holdings Inc. Common Stock,$41.48,0.17,0.412%,4579816299.00,United States,1997,722240,Consumer Durables,Containers/Packaging
TPX,Tempur Sealy International Inc. Common Stock,$39.82,-0.12,-0.30%,7665751147.00,United States,2003,2726828,Consumer Durables,Home Furnishings
VRT,Vertiv Holdings LLC Class A Common Stock,$21.21,-0.71,-3.239%,7968034956.00,United States,2018,1641437,Consumer Durables,Electrical Products
VTRS,Viatris Inc. Common Stock,$14.68,0.32,2.228%,17753895347.00,United States,,10862278,Consumer Durables,Specialty Chemicals
WHR,Whirlpool Corporation Common Stock,$208.11,0.91,0.439%,12641243211.00,United States,,1013539,Consumer Durables,Consumer Electronics/Appliances
WOR,Worthington Industries Inc. Common Stock,$53.08,0.39,0.74%,2703598642.00,United States,,341973,Consumer Durables,Aerospace
ZNTL,Zentalis Pharmaceuticals Inc. Common Stock,$56.78,-0.50,-0.873%,2572448788.00,United States,2020,357438,Consumer Durables,Specialty Chemicals
