Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CAG,ConAgra Brands Inc. Common Stock,$35.04,-0.27,-0.765%,16808608494.00,United States,,4276646,Consumer Non-Durables,Packaged Foods
CHD,Church & Dwight Company Inc. Common Stock,$101.63,-0.79,-0.771%,25407500000.00,United States,,1751686,Consumer Non-Durables,Package Goods/Cosmetics
CL,Colgate-Palmolive Company Common Stock,$81.74,-1.93,-2.307%,68894452002.00,United States,,7067627,Consumer Non-Durables,Package Goods/Cosmetics
CPB,Campbell Soup Company Common Stock,$44.39,-0.93,-2.052%,13394144404.00,United States,,2673038,Consumer Non-Durables,Packaged Foods
DAR,Darling Ingredients Inc. Common Stock,$61.96,-1.40,-2.21%,10025636877.00,United States,,1220731,Consumer Non-Durables,Farming/Seeds/Milling
DPZ,Domino's Pizza Inc Common Stock,$436.36,-19.88,-4.357%,15866198835.00,United States,2004,569360,Consumer Non-Durables,Food Distributors
ECL,Ecolab Inc. Common Stock,$188.89,-3.72,-1.931%,54129698619.00,United States,,1387921,Consumer Non-Durables,Package Goods/Cosmetics
EL,Estee Lauder Companies Inc. (The) Common Stock,$294.21,-7.58,-2.512%,105900122789.00,United States,1995,1732566,Consumer Non-Durables,Package Goods/Cosmetics
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$80.04,-0.56,-0.695%,28640123065.00,Mexico,,628993,Consumer Non-Durables,Beverages (Production/Distribution)
GWW,W.W. Grainger Inc. Common Stock,$486.26,-7.79,-1.577%,25052138054.00,United States,,297630,Consumer Non-Durables,Telecommunications Equipment
HAS,Hasbro Inc. Common Stock,$95.58,-1.83,-1.879%,13184965275.00,United States,,1033591,Consumer Non-Durables,Recreational Products/Toys
HRL,Hormel Foods Corporation Common Stock,$48.21,-0.80,-1.632%,26157297241.00,United States,,2350300,Consumer Non-Durables,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$194.77,-5.15,-2.576%,40123346103.00,United States,,1522886,Consumer Non-Durables,Specialty Foods
K,Kellogg Company Common Stock,$66.19,-0.01,-0.015%,22578918331.00,United States,,2576800,Consumer Non-Durables,Packaged Foods
KDP,Keurig Dr Pepper Inc. Common Stock,$38.08,-0.09,-0.236%,53995977500.00,United States,,6704453,Consumer Non-Durables,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$36.21,-0.18,-0.495%,44322577513.00,United States,,7022063,Consumer Non-Durables,Farming/Seeds/Milling
KO,Coca-Cola Company (The) Common Stock,$59.82,-0.14,-0.233%,258387718518.00,United States,,18496965,Consumer Non-Durables,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$53.67,0.95,1.802%,11275166739.00,Mexico,1993,125256,Consumer Non-Durables,Beverages (Production/Distribution)
MDLZ,Mondelez International Inc. Class A Common Stock,$66.98,-0.63,-0.932%,93435233401.00,United States,,12855644,Consumer Non-Durables,Meat/Poultry/Fish
MKC,McCormick & Company Incorporated Common Stock,$93.02,-1.15,-1.221%,24865882594.00,United States,,1646228,Consumer Non-Durables,Farming/Seeds/Milling
MNST,Monster Beverage Corporation,$86.33,-1.81,-2.054%,45680579798.00,United States,,2790283,Consumer Non-Durables,Beverages (Production/Distribution)
MO,Altria Group Inc.,$50.03,0.08,0.16%,91904550765.00,United States,,9568471,Consumer Non-Durables,Farming/Seeds/Milling
NKE,Nike Inc. Common Stock,$145.48,-0.52,-0.356%,230046836316.00,United States,,7861654,Consumer Non-Durables,Shoe Manufacturing
PEP,PepsiCo Inc. Common Stock,$171.34,-1.99,-1.148%,236903755254.00,United States,,6528611,Consumer Non-Durables,Beverages (Production/Distribution)
PG,Procter & Gamble Company (The) Common Stock,$159.54,-1.76,-1.091%,382427862735.00,United States,,9348658,Consumer Non-Durables,Package Goods/Cosmetics
PM,Philip Morris International Inc Common Stock,$102.14,1.56,1.551%,159014379235.00,United States,,5108729,Consumer Non-Durables,Farming/Seeds/Milling
POOL,Pool Corporation Common Stock,$459.99,-17.63,-3.691%,18440065780.00,United States,1995,397849,Consumer Non-Durables,Recreational Products/Toys
SJM,J.M. Smucker Company (The) New Common Stock,$139.40,-2.62,-1.845%,15105832310.00,United States,,1119449,Consumer Non-Durables,Packaged Foods
STZ,Constellation Brands Inc. Common Stock,$236.47,-3.59,-1.495%,44349409821.00,United States,,1138991,Consumer Non-Durables,Beverages (Production/Distribution)
SYY,Sysco Corporation Common Stock,$77.07,-0.10,-0.13%,39510424355.00,United States,,2585796,Consumer Non-Durables,Food Distributors
TAP,Molson Coors Beverage Company Class B Common Stock,$50.22,0.36,0.722%,10896225214.00,Canada,,1326308,Consumer Non-Durables,Beverages (Production/Distribution)
TPR,Tapestry Inc. Common Stock,$37.46,-0.73,-1.911%,10306843931.00,United States,,2571822,Consumer Non-Durables,Apparel
TSN,Tyson Foods Inc. Common Stock,$90.29,-0.36,-0.397%,32782608500.00,United States,,1824454,Consumer Non-Durables,Meat/Poultry/Fish
VFC,V.F. Corporation Common Stock,$66.51,-1.49,-2.191%,26123949044.00,United States,,6192349,Consumer Non-Durables,Apparel
