Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAP,Advance Auto Parts Inc.,$230.18,-2.63,-1.13%,14352914642.00,United States,,520378,Consumer Services,Other Specialty Stores
ACI,Albertsons Companies Inc. Class A Common Stock,$27.08,-1.38,-4.849%,13082839421.00,United States,2020,2480499,Consumer Services,Food Chains
ALLE,Allegion plc Ordinary Shares,$120.68,-2.87,-2.323%,10824496626.00,United States,2013,688162,Consumer Services,Diversified Commercial Services
AMZN,Amazon.com Inc. Common Stock,$2799.72,-91.16,-3.153%,1419871334666.00,United States,1997,4422031,Consumer Services,Catalog/Specialty Distribution
ARE,Alexandria Real Estate Equities Inc. Common Stock,$194.16,-1.10,-0.563%,31040036894.00,United States,,1268723,Consumer Services,Real Estate Investment Trusts
AVB,AvalonBay Communities Inc. Common Stock,$241.50,1.11,0.462%,33747432663.00,United States,,1126891,Consumer Services,Real Estate Investment Trusts
BAH,Booz Allen Hamilton Holding Corporation Common Stock,$85.41,-1.28,-1.477%,11436113389.00,United States,2010,1342989,Consumer Services,Professional Services
BBY,Best Buy Co. Inc. Common Stock,$98.03,-3.35,-3.304%,23582184831.00,United States,,3747771,Consumer Services,Consumer Electronics/Video Chains
BLDR,Builders FirstSource Inc. Common Stock,$67.75,-2.05,-2.937%,12974198712.00,United States,2005,2256327,Consumer Services,RETAIL: Building Materials
BXP,Boston Properties Inc. Common Stock,$114.25,-0.78,-0.678%,17846643352.00,United States,1997,1071417,Consumer Services,Real Estate Investment Trusts
CCI,Crown Castle International Corp. (REIT) Common Stock,$182.18,-1.43,-0.779%,78738787721.00,United States,,1458355,Consumer Services,Real Estate Investment Trusts
CHTR,Charter Communications Inc. Class A Common Stock New,$563.54,-13.59,-2.355%,115468882207.00,United States,,1055846,Consumer Services,Television Services
CMCSA,Comcast Corporation Class A Common Stock,$49.67,-0.40,-0.799%,226938407645.00,United States,,31788393,Consumer Services,Television Services
CMG,Chipotle Mexican Grill Inc. Common Stock,$1368.40,-48.17,-3.40%,38500489570.00,United States,2006,447701,Consumer Services,Restaurants
CONE,CyrusOne Inc Common Stock,$89.34,0.26,0.292%,11574471931.00,United States,2013,4007812,Consumer Services,Real Estate Investment Trusts
COST,Costco Wholesale Corporation Common Stock,$477.32,-11.58,-2.369%,211659194218.00,United States,,2964454,Consumer Services,Department/Specialty Retail Stores
CPT,Camden Property Trust Common Stock,$155.76,-2.23,-1.411%,15918248800.00,United States,1993,844708,Consumer Services,Real Estate Investment Trusts
CRL,Charles River Laboratories International Inc. Common Stock,$317.85,-12.24,-3.708%,16040109222.00,United States,2000,443840,Consumer Services,EDP Services
