Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APA,APA Corporation Common Stock,$33.07,2.53,8.284%,12013479745.00,United States,,14291750,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$27.93,0.86,3.177%,24298207637.00,United States,,13438168,Energy,Oilfield Services/Equipment
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,$11.31,0.32,2.912%,2360008479.00,United States,2015,225972,Energy,Oil & Gas Production
CDEV,Centennial Resource Development Inc. Class A Common Stock,$8.22,0.69,9.163%,2335236215.00,United States,2016,14749758,Energy,Oil & Gas Production
CHK,Chesapeake Energy Corporation Common Stock,$67.13,3.37,5.285%,7861315375.00,United States,,2541545,Energy,Oil & Gas Production
CIVI,Civitas Resources Inc. Common Stock,$53.09,1.78,3.469%,4483787728.00,United States,2017,688337,Energy,Oil & Gas Production
CLR,Continental Resources Inc. Common Stock,$53.78,4.45,9.021%,19660939458.00,United States,2007,2211559,Energy,Oil & Gas Production
CNX,CNX Resources Corporation Common Stock,$14.98,0.00,0.00%,3163772644.00,United States,1999,3555266,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$87.11,4.09,4.927%,114893461584.00,United States,,8483604,Energy,Integrated oil Companies
CPE,Callon Petroleum Company Common Stock,$53.04,3.69,7.477%,3254681321.00,United States,,1689347,Energy,Oil & Gas Production
CTRA,Coterra Energy Inc. Common Stock,$20.35,0.82,4.199%,16556304954.00,United States,,9785527,Energy,Oil & Gas Production
CVI,CVR Energy Inc. Common Stock,$20.53,1.08,5.553%,2063893197.00,United States,2007,483635,Energy,Integrated oil Companies
CVX,Chevron Corporation Common Stock,$132.59,5.41,4.254%,255591876000.00,United States,,19652393,Energy,Integrated oil Companies
DVN,Devon Energy Corporation Common Stock,$51.26,2.93,6.062%,34703020000.00,United States,,18372875,Energy,Oil & Gas Production
EOG,EOG Resources Inc. Common Stock,$106.94,4.63,4.525%,62569522568.00,United States,,4751028,Energy,Oil & Gas Production
EQT,EQT Corporation Common Stock,$20.10,-0.55,-2.663%,7596888043.00,United States,,8502752,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Commmon Stock,$126.98,7.56,6.331%,23005544232.00,United States,2012,3340595,Energy,Oil & Gas Production
HAL,Halliburton Company Common Stock,$30.59,2.00,6.995%,27381602600.00,United States,,25120957,Energy,Oil & Gas Production
HES,Hess Corporation Common Stock,$91.50,2.76,3.11%,28340010801.00,United States,,4527688,Energy,Oil & Gas Production
HFC,HollyFrontier Corporation Common Stock,$34.63,0.88,2.607%,5627244618.00,United States,,1772845,Energy,Integrated oil Companies
HP,Helmerich & Payne Inc. Common Stock,$29.19,1.12,3.99%,3130686435.00,United States,,1410018,Energy,Oil & Gas Production
LBRT,Liberty Oilfield Services Inc. Class A Common Stock,$12.63,0.73,6.134%,2295074608.00,United States,2018,1451485,Energy,Oilfield Services/Equipment
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$21.71,1.14,5.542%,3946912736.00,United States,2017,1402547,Energy,Oil & Gas Production
