Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AFG,American Financial Group Inc. Common Stock,$127.39,-1.61,-1.248%,10803676088.00,United States,,421535,Finance,Property-Casualty Insurers
AFL,AFLAC Incorporated Common Stock,$61.90,0.42,0.683%,40948596756.00,United States,,3705306,Finance,Accident &Health Insurance
AIG,American International Group Inc. New Common Stock,$58.21,0.75,1.305%,50149412976.00,United States,,5445707,Finance,Life Insurance
AJG,Arthur J. Gallagher & Co. Common Stock,$153.20,-3.09,-1.977%,31754989600.00,United States,,2133653,Finance,Specialty Insurers
ALL,Allstate Corporation (The) Common Stock,$121.93,0.01,0.008%,34954409679.00,United States,,2038146,Finance,Property-Casualty Insurers
ALLY,Ally Financial Inc. Common Stock,$48.41,1.73,3.706%,16771354040.00,United States,2014,6170807,Finance,Diversified Financial Services
AMP,Ameriprise Financial Inc. Common Stock,$298.53,-2.43,-0.807%,33402467069.00,United States,,619723,Finance,Investment Managers
AMT,American Tower Corporation (REIT) Common Stock,$250.53,2.13,0.857%,114094793509.00,United States,,2008650,Finance,Trusts Except Educational Religious and Charitable
AON,Aon plc Class A Ordinary Shares (Ireland),$267.71,-5.94,-2.171%,58985188410.00,United States,,1534940,Finance,Specialty Insurers
ARCC,Ares Capital Corporation Common Stock,$21.26,0.36,1.722%,10146418743.00,United States,2004,4404210,Finance,Finance/Investors Services
AXP,American Express Company Common Stock,$173.11,14.18,8.922%,134083347787.00,United States,,13051902,Finance,Finance: Consumer Services
BAC,Bank of America Corporation Common Stock,$45.43,0.88,1.975%,391936083437.00,United States,,71286102,Finance,Major Banks
BEN,Franklin Resources Inc. Common Stock,$31.55,-0.14,-0.442%,15854520892.00,United States,,3653561,Finance,Investment Managers
BK,The Bank of New York Mellon Corporation Common Stock,$59.02,0.12,0.204%,47460637900.00,United States,,5919551,Finance,Investment Managers
BLK,BlackRock Inc. Common Stock,$798.55,11.73,1.491%,121127650288.00,United States,1999,1217145,Finance,Investment Bankers/Brokers/Service
BRO,Brown & Brown Inc. Common Stock,$64.42,-0.19,-0.294%,18193936968.00,United States,,3268996,Finance,Specialty Insurers
BX,Blackstone Inc. Common Stock,$110.24,0.85,0.777%,78370680808.00,United States,2007,6022116,Finance,Investment Managers
C,Citigroup Inc. Common Stock,$64.11,1.41,2.249%,127211372692.00,United States,,33999280,Finance,Major Banks
CBRE,CBRE Group Inc Common Stock Class A,$95.86,-4.89,-4.854%,32081069915.00,United States,,2488941,Finance,Real Estate
CFG,Citizens Financial Group Inc. Common Stock,$51.61,0.51,0.998%,21786500737.00,United States,2014,6668150,Finance,Major Banks
CG,The Carlyle Group Inc. Common Stock,$47.09,-0.95,-1.978%,16785801796.00,United States,2012,1478819,Finance,Investment Managers
CINF,Cincinnati Financial Corporation Common Stock,$115.09,-2.08,-1.775%,18545717460.00,United States,,595688,Finance,Property-Casualty Insurers
CMA,Comerica Incorporated Common Stock,$92.58,2.05,2.264%,12099090596.00,United States,,1656474,Finance,Major Banks
CME,CME Group Inc. Class A Common Stock,$221.79,-2.46,-1.097%,79711172300.00,United States,2002,1645223,Finance,Investment Bankers/Brokers/Service
CNA,CNA Financial Corporation Common Stock,$44.72,-0.47,-1.04%,12135213968.00,United States,,163216,Finance,Property-Casualty Insurers
COF,Capital One Financial Corporation Common Stock,$152.16,3.86,2.603%,64762652345.00,United States,1994,5422309,Finance,Finance Companies
CSGP,CoStar Group Inc. Common Stock,$67.04,-2.61,-3.747%,26476493954.00,United States,1998,2744079,Finance,Real Estate
DFS,Discover Financial Services Common Stock,$118.44,3.10,2.688%,34110720000.00,United States,,2361479,Finance,Finance: Consumer Services
EWBC,East West Bancorp Inc. Common Stock,$83.51,0.02,0.024%,11850694573.00,United States,,889978,Finance,Commercial Banks
FITB,Fifth Third Bancorp Common Stock,$44.92,-0.56,-1.231%,30658159683.00,United States,,7661117,Finance,Major Banks
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,$50.07,-0.24,-0.477%,14246504072.00,United States,2014,2012697,Finance,Specialty Insurers
FRC,FIRST REPUBLIC BANK Common Stock,$169.70,-5.16,-2.951%,30424836746.00,United States,,2549379,Finance,Commercial Banks
GL,Globe Life Inc. Common Stock,$102.57,0.51,0.50%,10357439108.00,United States,,660022,Finance,Life Insurance
