Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABBV,AbbVie Inc. Common Stock,$133.09,0.93,0.704%,235287211087.00,United States,2012,9377711,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,$131.06,-0.49,-0.372%,27277958293.00,United States,,699914,Health Care,Other Pharmaceuticals
ABMD,ABIOMED Inc. Common Stock,$296.84,-15.10,-4.841%,13505474932.00,United States,,611075,Health Care,Medical/Dental Instruments
ABT,Abbott Laboratories Common Stock,$123.27,-0.55,-0.444%,217976734669.00,United States,,7331653,Health Care,Medical/Dental Instruments
ALGN,Align Technology Inc. Common Stock,$467.99,-6.44,-1.357%,36902447761.00,United States,2001,1080699,Health Care,Industrial Specialties
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,$130.94,-5.59,-4.094%,15660578116.00,United States,2004,800354,Health Care,Biotechnology: Pharmaceutical Preparations
AMGN,Amgen Inc. Common Stock,$225.04,-1.04,-0.46%,126757358586.00,United States,1983,2745031,Health Care,Biotechnology: Pharmaceutical Preparations
ANTM,Anthem Inc. Common Stock,$439.18,-10.32,-2.296%,106595431406.00,United States,,2024807,Health Care,Medical Specialities
BAX,Baxter International Inc. Common Stock,$85.07,-0.89,-1.035%,42593991026.00,United States,,2689488,Health Care,Medical/Dental Instruments
BDX,Becton Dickinson and Company Common Stock,$258.10,-1.86,-0.715%,73569693797.00,United States,,1463982,Health Care,Medical/Dental Instruments
BIIB,Biogen Inc. Common Stock,$222.31,-2.38,-1.059%,32655718805.00,United States,,1474201,Health Care,Biotechnology: Pharmaceutical Preparations
BMRN,BioMarin Pharmaceutical Inc. Common Stock,$84.86,-1.36,-1.577%,15579738809.00,United States,1999,1009979,Health Care,Biotechnology: Pharmaceutical Preparations
BMY,Bristol-Myers Squibb Company Common Stock,$62.46,-0.15,-0.24%,138639022640.00,United States,,12401677,Health Care,Biotechnology: Pharmaceutical Preparations
BSX,Boston Scientific Corporation Common Stock,$42.51,-0.15,-0.352%,60576430197.00,United States,,10834942,Health Care,Medical/Dental Instruments
CAH,Cardinal Health Inc. Common Stock,$50.75,-0.06,-0.118%,14300741102.00,United States,,2221601,Health Care,Other Pharmaceuticals
CERN,Cerner Corporation Common Stock,$91.37,-0.34,-0.371%,26699303263.00,United States,1986,4359020,Health Care,Managed Health Care
CI,Cigna Corporation Common Stock,$234.74,-1.68,-0.711%,77799355904.00,United States,,1556923,Health Care,Medical Specialities
CNC,Centene Corporation Common Stock,$76.37,-1.16,-1.496%,44562118917.00,United States,,2706373,Health Care,Medical Specialities
COO,The Cooper Companies Inc. Common Stock,$389.59,-3.72,-0.946%,19248870512.00,United States,,376009,Health Care,Ophthalmic Goods
CTLT,Catalent Inc. Common Stock,$100.35,-3.39,-3.268%,17178720015.00,United States,2014,1255941,Health Care,Biotechnology: Pharmaceutical Preparations
CVS,CVS Health Corporation Common Stock,$103.10,-0.41,-0.396%,136098047537.00,United States,,6623036,Health Care,Managed Health Care
DGX,Quest Diagnostics Incorporated Common Stock,$137.18,-1.12,-0.81%,16828525086.00,United States,,1022465,Health Care,Medical Specialities
DHR,Danaher Corporation Common Stock,$271.20,-5.66,-2.044%,193793246602.00,United States,,4574879,Health Care,Medical Specialities
DVA,DaVita Inc. Common Stock,$109.46,-1.27,-1.147%,11153974000.00,United States,,707342,Health Care,Medical/Nursing Services
DXCM,DexCom Inc. Common Stock,$406.23,-20.60,-4.826%,39372637872.00,United States,2005,1004706,Health Care,Medical Specialities
ELAN,Elanco Animal Health Incorporated Common Stock,$26.31,-0.79,-2.915%,12447225297.00,United States,2018,3461128,Health Care,Biotechnology: Pharmaceutical Preparations
EW,Edwards Lifesciences Corporation Common Stock,$109.49,-1.11,-1.004%,68358383967.00,United States,,3211796,Health Care,Industrial Specialties
EXAS,Exact Sciences Corporation Common Stock,$69.18,-5.48,-7.34%,12014771955.00,United States,2001,2981756,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GILD,Gilead Sciences Inc. Common Stock,$68.84,0.27,0.394%,86351761654.00,United States,1992,8066297,Health Care,Biotechnology: Pharmaceutical Preparations
HCA,HCA Healthcare Inc. Common Stock,$239.11,-4.49,-1.843%,74368661708.00,United States,2011,1722496,Health Care,Hospital/Nursing Management
HOLX,Hologic Inc. Common Stock,$70.03,-0.86,-1.213%,17598745028.00,United States,1990,2561102,Health Care,Medical Electronics
HSIC,Henry Schein Inc. Common Stock,$72.72,-1.66,-2.232%,10084403241.00,United States,1995,841622,Health Care,Medical Specialities
HUM,Humana Inc. Common Stock,$375.04,-4.06,-1.071%,48205500497.00,United States,,1154845,Health Care,Medical Specialities
IDXX,IDEXX Laboratories Inc. Common Stock,$478.19,-33.46,-6.54%,40547455410.00,United States,1991,787151,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ILMN,Illumina Inc. Common Stock,$344.76,-20.20,-5.535%,53885988000.00,United States,2000,1182213,Health Care,Medical Specialities
INCY,Incyte Corp. Common Stock,$74.15,-1.19,-1.58%,16379039325.00,United States,,1705324,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IQV,IQVIA Holdings Inc. Common Stock,$236.23,-7.47,-3.065%,45129261321.00,United States,2013,874822,Health Care,Managed Health Care
ISRG,Intuitive Surgical Inc. Common Stock,$264.14,-7.84,-2.883%,94360544465.00,United States,2000,2615068,Health Care,Medical/Dental Instruments
JNJ,Johnson & Johnson Common Stock,$167.63,4.66,2.859%,441302229913.00,United States,,13421972,Health Care,Biotechnology: Pharmaceutical Preparations
LH,Laboratory Corporation of America Holdings Common Stock,$268.05,-4.10,-1.507%,25652385000.00,United States,,923797,Health Care,Medical Specialities
LLY,Eli Lilly and Company Common Stock,$239.46,-0.96,-0.399%,229065614428.00,United States,,2395033,Health Care,Biotechnology: Pharmaceutical Preparations
MASI,Masimo Corporation Common Stock,$212.98,-10.53,-4.711%,11761115323.00,United States,2007,498277,Health Care,Medical/Dental Instruments
MCK,McKesson Corporation Common Stock,$245.63,-2.72,-1.095%,37503320435.00,United States,,842537,Health Care,Other Pharmaceuticals
MDT,Medtronic plc. Ordinary Shares,$104.17,-0.04,-0.038%,140062584359.00,United States,,8165105,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MOH,Molina Healthcare Inc Common Stock,$270.21,-9.56,-3.417%,15780264000.00,United States,2003,293304,Health Care,Medical Specialities
MRK,Merck & Company Inc. Common Stock (new),$79.46,0.63,0.799%,200711505155.00,United States,,12754387,Health Care,Biotechnology: Pharmaceutical Preparations
MRNA,Moderna Inc. Common Stock,$152.54,-4.76,-3.026%,61847270849.00,United States,2018,11300195,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PFE,Pfizer Inc. Common Stock,$52.54,1.00,1.94%,294900011059.00,United States,,41424001,Health Care,Biotechnology: Pharmaceutical Preparations
PKI,PerkinElmer Inc. Common Stock,$168.86,-5.25,-3.015%,21310164421.00,United States,,931291,Health Care,Medical Specialities
PODD,Insulet Corporation Common Stock,$211.82,-11.18,-5.013%,14608650521.00,United States,2007,816769,Health Care,Medical/Dental Instruments
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$603.19,-18.29,-2.943%,64868873027.00,United States,1991,974021,Health Care,Biotechnology: Pharmaceutical Preparations
RGEN,Repligen Corporation Common Stock,$185.40,-4.39,-2.313%,10250493091.00,United States,1986,526436,Health Care,Medical/Dental Instruments
RMD,ResMed Inc. Common Stock,$232.17,-6.35,-2.662%,33832541878.00,United States,,569237,Health Care,Medical/Dental Instruments
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$39.13,-0.34,-0.861%,16806765978.00,United States,2020,1057983,Health Care,Biotechnology: Pharmaceutical Preparations
SGEN,Seagen Inc. Common Stock,$125.10,-4.45,-3.435%,22875259955.00,United States,2001,977293,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
