Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AEE,Ameren Corporation Common Stock,$85.98,-0.42,-0.486%,22148980302.00,United States,,1209251,Public Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$88.96,-0.16,-0.18%,44158812945.00,United States,,2824317,Public Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$22.17,-0.42,-1.859%,14781045589.00,United States,,9337852,Public Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$45.09,-0.46,-1.01%,17459053430.00,United States,2015,390133,Public Utilities,Electric Utilities: Central
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares,$19.10,-0.14,-0.728%,61733268817.00,Mexico,,6884,Public Utilities,Telecommunications Equipment
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L,$19.16,-0.21,-1.084%,61927195315.00,Mexico,,14647405,Public Utilities,Telecommunications Equipment
ATO,Atmos Energy Corporation Common Stock,$103.92,1.60,1.564%,13790728229.00,United States,,1566114,Public Utilities,Oil/Gas Transmission
AWK,American Water Works Company Inc. Common Stock,$157.00,-2.79,-1.746%,28501426436.00,United States,2008,1144952,Public Utilities,Water Supply
CIEN,Ciena Corporation Common Stock,$64.63,-0.75,-1.147%,10010065670.00,United States,1997,2288350,Public Utilities,Telecommunications Equipment
CMS,CMS Energy Corporation Common Stock,$62.57,-0.03,-0.048%,18126365630.00,United States,,2137105,Public Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$27.28,0.12,0.442%,17155457224.00,United States,,4441655,Public Utilities,Electric Utilities: Central
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$46.93,1.45,3.188%,22715322487.00,United States,2007,121837,Public Utilities,Oil/Gas Transmission
D,Dominion Energy Inc. Common Stock,$77.98,-0.50,-0.637%,63156657656.00,United States,,3186844,Public Utilities,Electric Utilities: Central
DTE,DTE Energy Company Common Stock,$117.63,0.75,0.642%,22788139711.00,United States,,1449022,Public Utilities,Electric Utilities: Central
DUK,Duke Energy Corporation (Holding Company) Common Stock,$102.32,-0.26,-0.253%,78719213823.00,United States,,3261584,Public Utilities,Power Generation
ED,Consolidated Edison Inc. Common Stock,$81.81,-0.18,-0.22%,28940184092.00,United States,,3042033,Public Utilities,Power Generation
EIX,Edison International Common Stock,$61.77,-0.50,-0.803%,23466932973.00,United States,,2147155,Public Utilities,Electric Utilities: Central
ENB,Enbridge Inc Common Stock,$41.02,0.79,1.964%,83110014043.00,Canada,,6235151,Public Utilities,Oil & Gas Production
EPD,Enterprise Products Partners L.P. Common Stock,$24.19,0.54,2.283%,52785723660.00,United States,,8514412,Public Utilities,Natural Gas Distribution
ES,Eversource Energy (D/B/A) Common Stock,$85.57,-0.58,-0.673%,29419463333.00,United States,,1409956,Public Utilities,Electric Utilities: Central
ET,Energy Transfer LP Common Units ,$9.29,0.11,1.198%,29554712701.00,United States,,17127924,Public Utilities,Natural Gas Distribution
ETR,Entergy Corporation Common Stock,$107.67,-0.52,-0.481%,21639656356.00,United States,,1895226,Public Utilities,Electric Utilities: Central
EXC,Exelon Corporation Common Stock,$55.46,-0.64,-1.141%,54257504467.00,United States,,7944170,Public Utilities,Power Generation
FE,FirstEnergy Corp. Common Stock,$41.32,0.01,0.024%,23560177870.00,United States,,4550273,Public Utilities,Electric Utilities: Central
KMI,Kinder Morgan Inc. Common Stock,$17.50,0.18,1.039%,39630195203.00,United States,2011,18613964,Public Utilities,Natural Gas Distribution
LNG,Cheniere Energy Inc. Common Stock,$109.88,4.75,4.518%,27864299216.00,United States,,2231573,Public Utilities,Oil/Gas Transmission
LNT,Alliant Energy Corporation Common Stock,$58.31,-0.44,-0.749%,14598537490.00,United States,,1274734,Public Utilities,Power Generation
LUMN,Lumen Technologies Inc. Common Stock,$12.10,-0.15,-1.224%,12389119409.00,United States,,10659426,Public Utilities,Telecommunications Equipment
NEE,NextEra Energy Inc. Common Stock,$75.10,-6.82,-8.325%,147356495759.00,United States,,22529983,Public Utilities,Electric Utilities: Central
NI,NiSource Inc Common Stock,$27.14,0.10,0.37%,10658004988.00,United States,,8117206,Public Utilities,Power Generation
OKE,ONEOK Inc. Common Stock,$59.59,0.96,1.637%,26573368132.00,United States,,3225280,Public Utilities,Oil & Gas Production
PCG,Pacific Gas & Electric Co. Common Stock,$12.35,0.18,1.479%,24519309632.00,United States,,11812571,Public Utilities,Power Generation
PEG,Public Service Enterprise Group Incorporated Common Stock,$64.72,0.37,0.575%,32726552852.00,United States,,2851268,Public Utilities,Electric Utilities: Central
