Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$159.78,-1.84,-1.138%,2770160185200.00,United States,1980,107887295,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$502.72,-16.94,-3.26%,239194176000.00,United States,1986,3971376,Technology,Computer Software: Prepackaged Software
ADI,Analog Devices Inc. Common Stock,$155.77,-5.67,-3.512%,81830758777.00,United States,,4034444,Technology,Semiconductors
ADSK,Autodesk Inc. Common Stock,$233.78,-11.57,-4.716%,51425385426.00,United States,,2844448,Technology,Computer Software: Prepackaged Software
AFRM,Affirm Holdings Inc. Class A Common Stock,$54.52,-3.73,-6.403%,15320421986.00,United States,2021,11329248,Technology,EDP Services
AMD,Advanced Micro Devices Inc. Common Stock,$111.13,-5.40,-4.634%,134201749864.00,United States,,83589121,Technology,Semiconductors
ANSS,ANSYS Inc. Common Stock,$321.61,-13.16,-3.931%,28061421250.00,United States,1996,468391,Technology,Computer Software: Prepackaged Software
APP,Applovin Corporation Class A Common Stock,$64.58,-4.96,-7.133%,24167191857.00,United States,2021,1835738,Technology,EDP Services
ATVI,Activision Blizzard Inc. Common Stock,$79.12,-0.85,-1.063%,61639018323.00,United States,,14376793,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$534.14,-7.44,-1.374%,220532501268.00,United States,2009,3777810,Technology,Semiconductors
BSY,Bentley Systems Incorporated Class B Common Stock,$38.14,-1.66,-4.171%,10768668850.00,United States,2020,1602477,Technology,Retail: Computer Software & Peripheral Equipment
CDAY,Ceridian HCM Holding Inc. Common Stock,$72.55,-5.10,-6.568%,10979084437.00,United States,2018,1789999,Technology,EDP Services
CDNS,Cadence Design Systems Inc. Common Stock,$142.39,-9.27,-6.112%,39462106990.00,United States,,2458700,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,$180.85,-4.30,-2.322%,24545509614.00,United States,2013,1015995,Technology,EDP Services
CFLT,Confluent Inc. Class A Common Stock,$56.75,-1.89,-3.223%,15008922768.00,United States,2021,1841107,Technology,EDP Services
COIN,Coinbase Global Inc. Class A Common Stock,$185.63,-5.85,-3.055%,48616497000.00,United States,,6221456,Technology,EDP Services
CRM,Salesforce.com Inc Common Stock,$215.39,-7.64,-3.426%,212159150000.00,United States,2004,9011878,Technology,Computer Software: Prepackaged Software
CRWD,CrowdStrike Holdings Inc. Class A Common Stock,$158.59,-8.68,-5.189%,36370921807.00,United States,2019,5077383,Technology,EDP Services
CSCO,Cisco Systems Inc. Common Stock (DE),$56.11,-0.79,-1.388%,236649903801.00,United States,1990,23727238,Technology,Computer peripheral equipment
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$82.25,-2.85,-3.349%,43201955122.00,United States,1998,3804183,Technology,EDP Services
CTXS,Citrix Systems Inc. Common Stock,$101.38,-4.96,-4.664%,12644404763.00,United States,1995,2495139,Technology,Computer Software: Prepackaged Software
DDOG,Datadog Inc. Class A Common Stock,$125.14,-10.93,-8.033%,39045728292.00,United States,2019,4737397,Technology,EDP Services
DOCU,DocuSign Inc. Common Stock,$117.80,-4.03,-3.308%,23309854409.00,United States,2018,4984412,Technology,EDP Services
DT,Dynatrace Inc. Common Stock,$48.37,-1.82,-3.626%,13788894379.00,United States,2019,2579722,Technology,EDP Services
