Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAL,American Airlines Group Inc. Common Stock,$16.46,0.05,0.305%,10658089032.00,United States,,40379222,Transportation,Air Freight/Delivery Services
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,$78.18,-1.10,-1.387%,2269431790.00,United States,,631757,Transportation,Transportation Services
ABNB,Airbnb Inc. Class A Common Stock,$144.56,-3.34,-2.258%,86215440452.00,United States,2020,5643859,Transportation,Other Consumer Services
ALGT,Allegiant Travel Company Common Stock,$177.68,3.07,1.758%,3213827156.00,United States,2006,209766,Transportation,Air Freight/Delivery Services
ALK,Alaska Air Group Inc. Common Stock,$52.19,0.79,1.537%,6539963763.00,United States,,2444310,Transportation,Air Freight/Delivery Services
ARCB,ArcBest Corporation Common Stock,$87.91,-3.52,-3.85%,2247712945.00,United States,,311846,Transportation,Trucking Freight/Courier Services
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock,$194.48,0.84,0.434%,5834400000.00,Mexico,,23252,Transportation,Aerospace
BKNG,Booking Holdings Inc. Common Stock,$2329.02,-20.60,-0.877%,95637677835.00,United States,,452945,Transportation,Other Consumer Services
CHRW,C.H. Robinson Worldwide Inc. Common Stock,$105.14,-2.44,-2.268%,13666881755.00,United States,1997,1056504,Transportation,Oil Refining/Marketing
CSX,CSX Corporation Common Stock,$33.72,-0.64,-1.863%,74790400619.00,United States,,19879126,Transportation,Railroads
DAL,Delta Air Lines Inc. Common Stock,$38.72,0.81,2.137%,24781335033.00,United States,,14585172,Transportation,Air Freight/Delivery Services
EXPD,Expeditors International of Washington Inc. Common Stock,$114.77,-3.50,-2.959%,19442476651.00,United States,,1036391,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,$174.20,2.85,1.663%,26396114540.00,United States,,3154407,Transportation,Other Consumer Services
FDX,FedEx Corporation Common Stock,$244.04,-1.68,-0.684%,64663118222.00,United States,,1838657,Transportation,Air Freight/Delivery Services
FWRD,Forward Air Corporation Common Stock,$108.29,-4.78,-4.227%,2919308134.00,United States,,125785,Transportation,Oil Refining/Marketing
GATX,GATX Corporation Common Stock,$102.03,6.21,6.481%,3622065000.00,United States,,414000,Transportation,Rental/Leasing Companies
HUBG,Hub Group Inc. Class A Common Stock,$77.33,-2.32,-2.913%,2677961486.00,United States,1996,168628,Transportation,Oil Refining/Marketing
JBHT,J.B. Hunt Transport Services Inc. Common Stock,$195.95,-6.72,-3.316%,20593169300.00,United States,,1077153,Transportation,Trucking Freight/Courier Services
JBLU,JetBlue Airways Corporation Common Stock,$13.73,-0.04,-0.29%,4366559040.00,United States,2002,6997911,Transportation,Air Freight/Delivery Services
JOBY,Joby Aviation Inc. Common Stock,$4.27,-0.06,-1.386%,2578629062.00,United States,2020,5777624,Transportation,Aerospace
KEX,Kirby Corporation Common Stock,$62.52,-0.52,-0.825%,3758139720.00,United States,,517476,Transportation,Marine Transportation
KNX,Knight-Swift Transportation Holdings Inc.,$55.37,-1.79,-3.132%,9189047340.00,United States,2017,1543885,Transportation,Trucking Freight/Courier Services
LSTR,Landstar System Inc. Common Stock,$162.74,-5.93,-3.516%,6201791286.00,United States,1993,393670,Transportation,Trucking Freight/Courier Services
LUV,Southwest Airlines Company Common Stock,$43.85,-0.02,-0.046%,25955687922.00,United States,,6550814,Transportation,Air Freight/Delivery Services
MATX,Matson Inc. Common Stock,$91.70,0.81,0.891%,3854331374.00,United States,,404976,Transportation,Marine Transportation
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,$20.65,0.68,3.405%,8608818045.00,United States,,23180731,Transportation,Hotels/Resorts
NSC,Norfolk Southern Corporation Common Stock,$274.81,-1.50,-0.543%,66873504518.00,United States,,1360326,Transportation,Railroads
ODFL,Old Dominion Freight Line Inc. Common Stock,$299.97,-9.08,-2.938%,34499901265.00,United States,1991,855835,Transportation,Trucking Freight/Courier Services
OMAB,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. ADS,$51.15,-0.17,-0.331%,2469070755.00,Mexico,2006,35250,Transportation,Aerospace
PAC,Grupo Aeroportuario Del Pacifico S.A. B. de C.V. Grupo Aeroportuario Del Pacifico S.A. de C.V. (each representing 10 Series B shares),$131.14,0.11,0.084%,6749845566.00,Mexico,2006,47641,Transportation,Aerospace
SAIA,Saia Inc. Common Stock,$285.64,-10.19,-3.445%,7522783282.00,United States,,475505,Transportation,Trucking Freight/Courier Services
SAVE,Spirit Airlines Inc. Common Stock,$21.72,0.18,0.836%,2354560553.00,United States,,5180266,Transportation,Air Freight/Delivery Services
SNDR,Schneider National Inc. Common Stock,$25.48,-0.94,-3.558%,4526680995.00,United States,2017,455642,Transportation,Trucking Freight/Courier Services
STN,Stantec Inc Common Stock,$51.79,-0.64,-1.221%,5758336250.00,Canada,,94555,Transportation,Marine Transportation
TNL,Travel   Leisure Co. Common  Stock,$54.85,-0.07,-0.127%,4736638996.00,United States,,616148,Transportation,Other Consumer Services
UAL,United Airlines Holdings Inc. Common Stock,$41.78,0.39,0.942%,13528636280.00,United States,,11221353,Transportation,Air Freight/Delivery Services
ULCC,Frontier Group Holdings Inc. Common Stock,$12.71,-0.17,-1.32%,2745520553.00,United States,2021,442275,Transportation,Air Freight/Delivery Services
UNP,Union Pacific Corporation Common Stock,$244.12,-0.98,-0.40%,156938815884.00,United States,,3294553,Transportation,Railroads
UPS,United Parcel Service Inc. Common Stock,$201.94,-2.19,-1.073%,175514565771.00,United States,1999,3815940,Transportation,Air Freight/Delivery Services
WERN,Werner Enterprises Inc. Common Stock,$44.47,-1.58,-3.431%,2974342642.00,United States,1986,546880,Transportation,Trucking Freight/Courier Services
XPO,XPO Logistics Inc.,$65.95,-1.84,-2.714%,7565186031.00,United States,,1702476,Transportation,Oil Refining/Marketing
